STT,Kho,Ngày,Số đơn trả,% FD,,,Thời gian,Tổng đơn trả,Trả hàng tổng,Trả hàng SHOPEE Bulky,Trả hàng TTS Bulky,Trả hàng SME,Trả hàng B2B,Trả hàng Ecommerce
611,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-10 - Thứ 6,25,"4,62%",,,,,,,,,,
612,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-10 - Thứ 6,6,"5,13%",,,,,,,,,,
613,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-10 - Thứ 6,7,"6,48%",,,,,,,,,,
614,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-10 - Thứ 6,7,"3,32%",,,,,,,,,,
615,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-10 - Thứ 6,16,"5,61%",,,,,,,,,,
616,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-10 - Thứ 6,11,"6,47%",,,,,,,,,,
617,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-10 - Thứ 6,10,"5,71%",,,,,,,,,,
618,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-10 - Thứ 6,11,"7,59%",,,,,,,,,,
619,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-10 - Thứ 6,4,"2,12%",,,,,,,,,,
620,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-10 - Thứ 6,3,"4,69%",,,,,,,,,,
621,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-10 - Thứ 6,0,"0,00%",,,,,,,,,,
622,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-10 - Thứ 6,11,"3,94%",,,,,,,,,,
623,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-10 - Thứ 6,4,"4,49%",,,,,,,,,,
624,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-09 - Thứ 5,17,"5,01%",,,,,,,,,,
625,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-09 - Thứ 5,7,"5,34%",,,,,,,,,,
626,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-09 - Thứ 5,17,"2,68%",,,,,,,,,,
627,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-09 - Thứ 5,4,"1,86%",,,,,,,,,,
628,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-09 - Thứ 5,2,"1,80%",,,,,,,,,,
629,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-09 - Thứ 5,4,"3,60%",,,,,,,,,,
630,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-09 - Thứ 5,15,"2,65%",,,,,,,,,,
631,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-09 - Thứ 5,6,"4,44%",,,,,,,,,,
632,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-09 - Thứ 5,11,"4,26%",,,,,,,,,,
633,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-09 - Thứ 5,6,"6,59%",,,,,,,,,,
634,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-09 - Thứ 5,8,"4,28%",,,,,,,,,,
635,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-09 - Thứ 5,12,"12,37%",,,,,,,,,,
636,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-09 - Thứ 5,2,"1,55%",,,,,,,,,,
637,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-09 - Thứ 5,4,"4,71%",,,,,,,,,,
638,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-09 - Thứ 5,33,"10,00%",,,,,,,,,,
639,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-09 - Thứ 5,1,"1,25%",,,,,,,,,,
640,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-09 - Thứ 5,12,"3,08%",,,,,,,,,,
641,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-09 - Thứ 5,2,"2,94%",,,,,,,,,,
642,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-09 - Thứ 5,11,"3,35%",,,,,,,,,,
643,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-09 - Thứ 5,2,"1,08%",,,,,,,,,,
644,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-09 - Thứ 5,6,"5,04%",,,,,,,,,,
645,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-09 - Thứ 5,3,"2,07%",,,,,,,,,,
646,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-09 - Thứ 5,1,"1,67%",,,,,,,,,,
647,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-09 - Thứ 5,3,"1,45%",,,,,,,,,,
648,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-09 - Thứ 5,13,"4,53%",,,,,,,,,,
649,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-08 - Thứ 4,8,"1,94%",,,,,,,,,,
650,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-08 - Thứ 4,5,"2,37%",,,,,,,,,,
651,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-08 - Thứ 4,4,"3,77%",,,,,,,,,,
652,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-08 - Thứ 4,19,"5,14%",,,,,,,,,,
653,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-08 - Thứ 4,9,"2,53%",,,,,,,,,,
654,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-08 - Thứ 4,8,"3,62%",,,,,,,,,,
655,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-08 - Thứ 4,9,"9,00%",,,,,,,,,,
656,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-08 - Thứ 4,5,"4,85%",,,,,,,,,,
657,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-08 - Thứ 4,4,"0,75%",,,,,,,,,,
658,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-08 - Thứ 4,5,"2,53%",,,,,,,,,,
659,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-08 - Thứ 4,2,"3,23%",,,,,,,,,,
660,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-08 - Thứ 4,6,"4,65%",,,,,,,,,,
661,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-08 - Thứ 4,4,"1,87%",,,,,,,,,,
662,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-08 - Thứ 4,21,"7,66%",,,,,,,,,,
663,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-08 - Thứ 4,5,"4,67%",,,,,,,,,,
664,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-08 - Thứ 4,11,"6,71%",,,,,,,,,,
665,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-08 - Thứ 4,0,"0,00%",,,,,,,,,,
666,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-08 - Thứ 4,1,"1,85%",,,,,,,,,,
667,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-08 - Thứ 4,13,"3,62%",,,,,,,,,,
668,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-08 - Thứ 4,9,"6,21%",,,,,,,,,,
669,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-08 - Thứ 4,3,"1,19%",,,,,,,,,,
670,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-08 - Thứ 4,17,"3,82%",,,,,,,,,,
671,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-08 - Thứ 4,5,"2,99%",,,,,,,,,,
672,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-08 - Thứ 4,14,"6,39%",,,,,,,,,,
673,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-08 - Thứ 4,4,"3,48%",,,,,,,,,,
674,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-07 - Thứ 3,12,"2,29%",,,,,,,,,,
675,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-07 - Thứ 3,3,"1,96%",,,,,,,,,,
676,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-07 - Thứ 3,7,"4,76%",,,,,,,,,,
677,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-07 - Thứ 3,1,"0,81%",,,,,,,,,,
678,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-07 - Thứ 3,4,"3,31%",,,,,,,,,,
679,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-07 - Thứ 3,11,"3,35%",,,,,,,,,,
680,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-07 - Thứ 3,16,"4,07%",,,,,,,,,,
681,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-07 - Thứ 3,8,"7,92%",,,,,,,,,,
682,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-07 - Thứ 3,17,"5,69%",,,,,,,,,,
683,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-07 - Thứ 3,16,"5,93%",,,,,,,,,,
684,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-07 - Thứ 3,7,"4,76%",,,,,,,,,,
685,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-07 - Thứ 3,4,"3,39%",,,,,,,,,,
686,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-07 - Thứ 3,3,"4,62%",,,,,,,,,,
687,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-07 - Thứ 3,19,"5,79%",,,,,,,,,,
688,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-07 - Thứ 3,3,"4,17%",,,,,,,,,,
689,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-07 - Thứ 3,3,"4,41%",,,,,,,,,,
690,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-07 - Thứ 3,3,"1,50%",,,,,,,,,,
691,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-07 - Thứ 3,3,"1,99%",,,,,,,,,,
692,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-07 - Thứ 3,7,"6,09%",,,,,,,,,,
693,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-07 - Thứ 3,9,"4,13%",,,,,,,,,,
694,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-07 - Thứ 3,31,"5,04%",,,,,,,,,,
695,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-07 - Thứ 3,10,"2,25%",,,,,,,,,,
696,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-07 - Thứ 3,6,"2,99%",,,,,,,,,,
697,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-07 - Thứ 3,2,"1,77%",,,,,,,,,,
698,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-07 - Thứ 3,3,"4,17%",,,,,,,,,,
699,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-06 - Thứ 2,17,"3,14%",,,,,,,,,,
700,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-06 - Thứ 2,19,"4,86%",,,,,,,,,,
701,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-06 - Thứ 2,4,"1,75%",,,,,,,,,,
702,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-06 - Thứ 2,4,"3,74%",,,,,,,,,,
703,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-06 - Thứ 2,15,"3,97%",,,,,,,,,,
704,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-06 - Thứ 2,2,"2,27%",,,,,,,,,,
705,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-06 - Thứ 2,36,"6,34%",,,,,,,,,,
706,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-06 - Thứ 2,6,"4,88%",,,,,,,,,,
707,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-06 - Thứ 2,4,"3,96%",,,,,,,,,,
708,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-06 - Thứ 2,2,"2,67%",,,,,,,,,,
709,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-06 - Thứ 2,13,"3,53%",,,,,,,,,,
710,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-06 - Thứ 2,9,"7,56%",,,,,,,,,,
711,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-06 - Thứ 2,5,"5,15%",,,,,,,,,,
712,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-06 - Thứ 2,5,"4,72%",,,,,,,,,,
713,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-06 - Thứ 2,10,"3,48%",,,,,,,,,,
714,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-06 - Thứ 2,9,"3,00%",,,,,,,,,,
715,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-06 - Thứ 2,4,"2,30%",,,,,,,,,,
716,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-06 - Thứ 2,2,"1,96%",,,,,,,,,,
717,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-06 - Thứ 2,8,"3,85%",,,,,,,,,,
718,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-06 - Thứ 2,6,"4,26%",,,,,,,,,,
719,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-06 - Thứ 2,3,"3,53%",,,,,,,,,,
720,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-06 - Thứ 2,1,"1,10%",,,,,,,,,,
721,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-06 - Thứ 2,15,"7,01%",,,,,,,,,,
722,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-06 - Thứ 2,7,"1,64%",,,,,,,,,,
723,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-06 - Thứ 2,5,"2,86%",,,,,,,,,,
724,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-05 - CN,9,"2,29%",,,,,,,,,,
725,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-05 - CN,5,"3,18%",,,,,,,,,,
726,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-05 - CN,2,"1,44%",,,,,,,,,,
727,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-05 - CN,12,"4,94%",,,,,,,,,,
728,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-05 - CN,6,"4,20%",,,,,,,,,,
729,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-05 - CN,4,"4,00%",,,,,,,,,,
730,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-05 - CN,4,"2,99%",,,,,,,,,,
731,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-05 - CN,3,"1,49%",,,,,,,,,,
732,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-05 - CN,9,"8,41%",,,,,,,,,,
733,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-05 - CN,8,"6,72%",,,,,,,,,,
734,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-05 - CN,2,"1,94%",,,,,,,,,,
735,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-05 - CN,19,"5,79%",,,,,,,,,,
736,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-05 - CN,2,"3,17%",,,,,,,,,,
737,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-05 - CN,12,"4,76%",,,,,,,,,,
738,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-05 - CN,12,"2,96%",,,,,,,,,,
739,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-05 - CN,30,"6,11%",,,,,,,,,,
740,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-05 - CN,20,"7,91%",,,,,,,,,,
741,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-05 - CN,4,"7,02%",,,,,,,,,,
742,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-05 - CN,8,"12,90%",,,,,,,,,,
743,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-05 - CN,9,"6,38%",,,,,,,,,,
744,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-05 - CN,5,"8,93%",,,,,,,,,,
745,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-05 - CN,2,"2,38%",,,,,,,,,,
746,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-05 - CN,5,"5,49%",,,,,,,,,,
747,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-05 - CN,14,"5,43%",,,,,,,,,,
748,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-05 - CN,8,"7,77%",,,,,,,,,,
749,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-04 - Thứ 7,8,"2,89%",,,,,,,,,,
750,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-04 - Thứ 7,2,"2,13%",,,,,,,,,,
751,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-04 - Thứ 7,16,"3,64%",,,,,,,,,,
752,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-04 - Thứ 7,2,"1,52%",,,,,,,,,,
753,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-04 - Thứ 7,5,"1,62%",,,,,,,,,,
754,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-04 - Thứ 7,8,"4,23%",,,,,,,,,,
755,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-04 - Thứ 7,10,"9,52%",,,,,,,,,,
756,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-04 - Thứ 7,2,"4,17%",,,,,,,,,,
757,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-04 - Thứ 7,15,"5,15%",,,,,,,,,,
758,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-04 - Thứ 7,11,"6,15%",,,,,,,,,,
759,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-04 - Thứ 7,3,"3,06%",,,,,,,,,,
760,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-04 - Thứ 7,6,"6,90%",,,,,,,,,,
761,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-04 - Thứ 7,1,"1,03%",,,,,,,,,,
762,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-04 - Thứ 7,4,"4,08%",,,,,,,,,,
763,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-04 - Thứ 7,6,"6,32%",,,,,,,,,,
764,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-04 - Thứ 7,14,"3,38%",,,,,,,,,,
765,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-04 - Thứ 7,7,"6,19%",,,,,,,,,,
766,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-04 - Thứ 7,15,"5,14%",,,,,,,,,,
767,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-04 - Thứ 7,4,"2,90%",,,,,,,,,,
768,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-04 - Thứ 7,5,"10,00%",,,,,,,,,,
769,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-04 - Thứ 7,5,"4,39%",,,,,,,,,,
770,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-04 - Thứ 7,10,"3,29%",,,,,,,,,,
771,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-04 - Thứ 7,17,"6,20%",,,,,,,,,,
772,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-04 - Thứ 7,7,"5,43%",,,,,,,,,,
773,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-04 - Thứ 7,6,"5,31%",,,,,,,,,,
774,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-03 - Thứ 6,13,"3,76%",,,,,,,,,,
775,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-03 - Thứ 6,8,"2,35%",,,,,,,,,,
776,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-03 - Thứ 6,13,"3,50%",,,,,,,,,,
777,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-03 - Thứ 6,5,"2,94%",,,,,,,,,,
778,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-03 - Thứ 6,3,"7,69%",,,,,,,,,,
779,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-03 - Thứ 6,4,"5,97%",,,,,,,,,,
780,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-03 - Thứ 6,4,"3,48%",,,,,,,,,,
781,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-03 - Thứ 6,5,"7,69%",,,,,,,,,,
782,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-03 - Thứ 6,2,"1,65%",,,,,,,,,,
783,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-03 - Thứ 6,1,"1,16%",,,,,,,,,,
784,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-03 - Thứ 6,15,"6,05%",,,,,,,,,,
785,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-03 - Thứ 6,3,"2,97%",,,,,,,,,,
786,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-03 - Thứ 6,13,"4,87%",,,,,,,,,,
787,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-03 - Thứ 6,13,"7,22%",,,,,,,,,,
788,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-03 - Thứ 6,5,"2,82%",,,,,,,,,,
789,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-03 - Thứ 6,15,"5,75%",,,,,,,,,,
790,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-03 - Thứ 6,4,"2,07%",,,,,,,,,,
791,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-03 - Thứ 6,5,"8,06%",,,,,,,,,,
792,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-03 - Thứ 6,3,"4,62%",,,,,,,,,,
793,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-03 - Thứ 6,9,"6,62%",,,,,,,,,,
794,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-03 - Thứ 6,4,"4,40%",,,,,,,,,,
795,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-04-03 - Thứ 6,6,"9,52%",,,,,,,,,,
796,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-04-03 - Thứ 6,1,"2,70%",,,,,,,,,,
797,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-03 - Thứ 6,4,"4,60%",,,,,,,,,,
798,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-03 - Thứ 6,13,"3,37%",,,,,,,,,,
799,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-04-02 - Thứ 5,3,"1,84%",,,,,,,,,,
800,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-04-02 - Thứ 5,1,"1,37%",,,,,,,,,,
801,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-04-02 - Thứ 5,3,"2,94%",,,,,,,,,,
802,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-04-02 - Thứ 5,2,"2,82%",,,,,,,,,,
803,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-04-02 - Thứ 5,6,"6,12%",,,,,,,,,,
804,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-04-02 - Thứ 5,9,"3,72%",,,,,,,,,,
805,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-04-02 - Thứ 5,4,"2,29%",,,,,,,,,,
806,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-04-02 - Thứ 5,13,"5,08%",,,,,,,,,,
807,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-04-02 - Thứ 5,5,"5,56%",,,,,,,,,,
808,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-04-02 - Thứ 5,5,"6,76%",,,,,,,,,,
809,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-04-02 - Thứ 5,14,"3,06%",,,,,,,,,,
810,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-04-02 - Thứ 5,2,"2,99%",,,,,,,,,,
811,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-04-02 - Thứ 5,14,"3,39%",,,,,,,,,,
812,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-04-02 - Thứ 5,6,"3,43%",,,,,,,,,,
813,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-04-02 - Thứ 5,10,"4,22%",,,,,,,,,,
814,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-04-02 - Thứ 5,1,"1,41%",,,,,,,,,,
815,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-04-02 - Thứ 5,1,"1,32%",,,,,,,,,,
816,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-04-02 - Thứ 5,6,"2,79%",,,,,,,,,,
817,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-04-02 - Thứ 5,4,"4,17%",,,,,,,,,,
818,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-04-02 - Thứ 5,2,"4,26%",,,,,,,,,,
819,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-04-02 - Thứ 5,12,"3,51%",,,,,,,,,,
820,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-04-02 - Thứ 5,17,"5,21%",,,,,,,,,,
821,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-04-02 - Thứ 5,8,"4,94%",,,,,,,,,,
